,sign,tt,val,times,oa,aa,kappa
0,WH,best,-1,2.0,91.21646272831478,90.19784137188394,88.94968588251781
1,WH,layer,1,0.0,90.02724640531163,88.03015831478199,87.41466682276392
2,WH,layer,2,0.0,91.99737109707534,90.89476746237459,89.92854896194167
3,WH,layer,3,0.0,91.88998972761357,90.66355775692794,89.78832050912077
4,WH,layer,4,0.0,90.83040729882812,90.39581929800848,88.50733258940346
5,WH,layer,5,0.0,92.06412867134316,90.99892755246715,89.99345448212311
6,WH,patch,5,0.0,76.06145836837244,70.87088551202615,70.69646764647841
7,WH,patch,9,0.0,87.24231705707773,84.61278118167724,84.02134566926122
8,WH,patch,13,0.0,87.54246739099497,86.78877245748974,84.43008789268848
9,WH,patch,17,0.0,88.93273268766512,89.51953409080687,86.19201348919793
10,WH,patch,21,0.0,91.39939918183158,90.24317020584942,89.17663573560053
11,WH,patch,25,0.0,92.10501121682498,90.72984931967825,90.05578932155355
12,WH,pca,5,0.0,86.4238898965775,83.83630179650176,83.02179560110608
13,WH,pca,10,0.0,89.18216796516187,88.14390392578993,86.43884615837882
14,WH,pca,30,0.0,91.17816768571156,90.35991888971702,88.90739495061575
15,WH,pca,50,0.0,91.87110095659982,90.91845340291749,89.77085770939347
16,WH,pca,100,0.0,90.4466806219322,90.15749150082466,87.98297478976349
17,WH,pca,150,0.0,91.08708758438495,90.78220069798066,88.80781924898899
18,WH,pca,200,0.0,91.84056842263237,90.87926674735787,89.72419981233415
19,WH,pca,250,0.0,90.73441094203217,90.0319287337652,88.34781309781616
20,indian,best,-1,2.0,87.30696798493409,94.06817740800739,85.67231591071544
21,indian,layer,1,2.0,89.29527207850134,95.59780307194836,87.91247972841974
22,indian,layer,2,2.0,87.58449796808405,94.26502227078166,85.98938104421174
23,indian,layer,3,2.0,86.46843096441668,93.67649199432724,84.75214879962553
24,indian,layer,4,2.0,86.90454950936665,93.80727597571112,85.22729783734073
25,indian,layer,5,2.0,87.1840618495391,93.82001743767997,85.52528379825414
26,indian,patch,5,2.0,82.26583407671721,90.48360389363597,79.90597672081972
27,indian,patch,9,2.0,88.14352264842898,94.70997996811583,86.61751979273284
28,indian,patch,13,2.0,87.49330954504907,94.09674475525797,85.88012467784196
29,indian,patch,17,2.0,86.96005550599662,93.76662833274979,85.30761279544065
30,indian,patch,21,2.0,87.10476756863912,93.78381078147251,85.45601156412768
31,indian,patch,25,2.0,87.1503617801566,93.98555552147998,85.5102949718523
32,indian,pca,5,0.0,76.27118644067797,86.19826552738905,73.37395133142446
33,indian,pca,10,0.0,76.12250966399048,86.18148977029932,73.2155298212835
34,indian,pca,30,0.0,85.01338090990187,93.06658702174335,83.1154764107394
35,indian,pca,50,0.0,87.15432649420161,94.33052911757605,85.50747582871281
36,indian,pca,100,0.0,85.29091089305184,93.53551270896189,83.4646029052607
37,indian,pca,150,0.0,87.02547328773912,93.75197052932134,85.36326324206472
38,indian,pca,200,0.0,87.82832788185152,94.15582728635971,86.24769276322563
39,pavia,best,-1,2.0,92.85480016867356,92.06148809736233,90.60506939211288
40,pavia,layer,1,2.0,89.4822658482875,90.07960728358057,86.21738989469912
41,pavia,layer,2,2.0,89.51693763763294,90.086950951371,86.26512285907513
42,pavia,layer,3,2.0,90.56318230801668,90.91812902802394,87.63218325658326
43,pavia,layer,4,2.0,89.08541442159022,90.80186363158018,85.88858236650445
44,pavia,layer,5,2.0,90.13259616736165,90.67641120816612,87.06103997761059
45,pavia,patch,5,2.0,83.18980461978165,84.49490054617156,78.03290257194391
46,pavia,patch,9,2.0,89.03668650142905,89.41199347926276,85.60317390365296
47,pavia,patch,13,2.0,90.11432319730122,90.15108282695383,87.02711854326317
48,pavia,patch,17,2.0,90.44323665838917,91.5552686089606,87.5418362994005
49,pavia,patch,21,2.0,88.51848381202267,90.6804165655424,85.16673705858919
50,pavia,patch,25,2.0,89.26252166986833,91.53801111537014,86.16249845465822
51,pavia,pca,5,2.0,85.18577519561448,89.4142221027198,80.96281494485328
52,pavia,pca,10,2.0,91.07107716815817,91.66526378611954,88.30750120088494
53,pavia,pca,30,2.0,89.59705758328258,90.29171703364354,86.30724642395302
54,pavia,pca,50,2.0,88.73822799044183,89.61216230647433,85.19666175281095
55,pavia,pca,100,2.0,85.18015274328819,88.20106000082133,80.85897341772973
56,pavia,pca,102,2.0,85.82439207234222,88.3222969554128,81.64841715383851
